lat,long,address,title,time,content
28.5499513,77.1998618, Hauz Khas ,Accident prone parking,2019-02-21T06:08:37+05:30,"People own big cars but have no sense of how and where to park. This car, DL3C BE 5204, is precariously parked on the wrong side at the crossing in HauzKhas and completely obscures the view of traffic on the main road and theinternal road — a potential accident cause."
9.529358,76.6030741,"Thottakkad region, Kallambalam ",Police seek help of NHAI and local bodies to curb accidents,2018-09-27T23:59:00+05:30,"Thiruvananthapuram: The tragic accident involving musician Balabhaskar and hisfamily, in which his two-year-old daughter was killed, might have happenedbecause the driver fell asleep behind the wheel. However, the police aretaking the tragedy as a wakeup call to initiate proactive measures to preventfurther accidents on the Pallippuram-Mangalapuram stretch, which has alreadybeen notorious as an accident-prone stretch.  The Attingal police subdivision have served notices to officials of NationalHighway Authority of India, local body authorities, representatives ofresidents and other stake holders to convene a meeting to improve theconditions here.    As per the statistics available with the police, the stretch of NationalHighway 47 between Pallippuram and Mangalapuram is an accident-prone areawhich has witnessed hundreds of accidents over the past five years, in which29 people were killed. This is the fourth fatal accident in the stretch thisyear.    The four kilometre stretch between Pallippuram and Mangalapuram have at leastfive accident-prone areas. They are Mangalapuram, Thamarakkulam, Kurakkodu,CRPF camp region and Pallippuram.    Out of the 29 fatal accidents reported in the past five years, nine occurredin the CRPF camp region, making it the most vulnerable spot. Pallippuram andKurakkodu came second with six fatal accidents each. Thamarakkulam haswitnessed five deaths and Mangalapuram, three.    A record of total number of accidents in the region hasn’t been compiled yet,but, sources in the police say the number of accidents - including minor andmajor - would be more than 500 over past five years.    Mangalapuram police station’s principal sub -inspector J Ajayan said that thepolice have already been maintaining vigil at these spots.    “We ensure maximum police presence at these spots. For example, there is adangerous curve ahead of Kurakodu Junction and the highway police squad ispresent at the curve during nights. Sadly, most of the time the motoristsignore the police personnel and speed off,” the SI said.    “We have marked this stretch as a black spot of accidents. The road here isnarrow and devoid of a median. During nights the problem intensifies becausethe road is poorly lit with very few streetlights,” said Attingal deputysuperintendent of police P Anilkumar, adding that it was beyond the capacityof the police to solve the problems here. Hence, they decided to reach out tovarious stakeholders to make the stretch safe for motorists till the proposedroad widening works were carried out here.    Meanwhile, Mangalapuram–Pallippuram region is not the only area the AttingalDSP is focussed on.    “My subdivision is special because of two important roads, NH 47 and MC Road,and both roads have fair share of black spots. Thottakkad region nearKallambalam on the NH and Pulimath near Kilimanoor on the MC Road are twoother spots which need special attention owing to the high number ofaccidents,” Anilkumar said.    "
28.8938636,76.7861347,Rohtak Road,"To reduce mishaps, cops to carry out audit of accident-prone zones",2019-01-11T08:44:29+05:30,"NEW DELHI: The traffic police will carry out an audit of accident-proneintersections in the city to come up with safety measures to reduce mishaps.The traffic police will also carry out an audit of bus shelters and suggestthe relocation of those that are deemed dangerous to passengers queuing up toboard.  These decisions were taken during the third meeting the State Road SafetyCouncil, chaired by Delhi transport minister Kailash Gahlot, on Thursday.Present were road planning experts, senior traffic police officers andofficials of the transport department, Public Works Department, municipalcorporations and the health department.    An expert member of the council disclosed that the meeting identified somearterial corridors as black spots. These included Rohtak Road, GT Karnal Roadand stretches of Outer Ring Road. A joint inspection is likely to be carriedout on these corridors by traffic police and government departments to see howthey can be made safer.    A transport department official also said, “There are some dangerous busshelters, such as the one near Bhikaji Cama Place that is located right nextto the point where the flyover on Ring Road ends and is, therefore, dangerousfrom the safety point of view. A survey will be carried out to reveal whethersuch stops need to be relocated.”    The official revealed that the meeting decided that a road safety committeewould henceforth investigate every road incident scientifically and implementtraffic engineering interventions.    The expert said that PWD will soon create a road safety committee for themajor roads, as will the municipal corporations to maintain the smaller,colony roads. He added that emphasis would also be on road safety nearschools, with teachers being trained in how to implement road safety measures.    Those attending the meeting added that it was decided to chalk out a calendarof training programmes for engineers of PWD and the municipal corporations onroad engineering and traffic engineering. “In many cases, the road engineersare not well trained about traffic engineering and road safety measures. Thiscan often lead to deficiencies in risk-free roads,” the transport departmentofficial said.    The meeting also discussed the idea of all hospitals having trauma cells forall road incidents on the lines of the trauma centres for major accidents.    "
NaN,NaN,Not found,Accident prone area....,2018-01-24T06:17:20+05:30,This work has been left incomplete since 3 weeks. It is very dangerous for twowheeler vehicles....
30.7350815,76.7635289,CHANDIGARH,15 deadly points took 30 lives last year,2018-04-25T09:17:38+05:30,"CHANDIGARH: Fifteen accident-prone areas claimed 30 lives and left 57 personsinjured in 2017, according to data released by the traffic police on Tuesday.![acc](https://static.toiimg.com/img/63905145/Master.jpg)    UT administrator V P Singh Badnore released a “Road Accident Analyses Book,2018” compiled by the road and analysis cell of UT traffic police thatidentified the 15 accident-prone spots. Maximum lives (five) were lost at theSector 8 inner market and dividing road site, while four people receivedinjuries in six accidents.    Senior superintendent of police (SSP), traffic and security, Shashank Anandsaid the city saw the lowest number of fatal and non-fatal road accidents inthe current decade in 2017.    Police said they have made proper sign boards, deployment of traffic copsduring rush hours and till late in the night. Traffic police are workinground-the-clock to reduce this figure in this year.    The airport light point was the second-biggest killer in 2007 — four peoplewere killed and five injured in four accidents at this point. Six accidentshad occurred at the transport light point in which three persons were killedand five injured. Two people had lost their lives and five were injured at thepress light point of sectors 8-9-17-18.    "
19.1387321,72.825407,Andheri West,Accident prone drain,2018-08-25T06:03:20+05:30,At entrance of Cama road Andheri West a Grill of storm water drain is sunkinside the road. Moreover a deep Hole is formed. Public may get hurt orvehicle will fall in it
21.1610858,79.0725101,nagpur,nagpur prone to hazardous accidents,2018-10-11T06:04:39+05:30,Such cycle-rickshaw and transporter prefer to carry iron bar and all materialthrough a mode of transport which is smaller than the size of product whichpose vital threat to commuters and city have already witnessed accident due tosame and people have lost their life due to it. Even the police official turntheir eye blinds on such event.
30.9003452,75.8566733,Ludhiana,Hosiery waste makes area prone to fires,2019-01-11T07:31:00+05:30,"Ludhiana: The fire and building collapse incident in a house in Mayapuri onTibba Road once again highlighted the carelessness of the authorities inchecking people from storing hosiery waste in houses without taking anypreventive measures.  Not only Mayapuri, adjoining areas too are known as a hub of hosiery wastewhere people have made godowns in their small houses or even vacant plots forthe purpose. Even a spark can lead to a major fire incident and these peopleare sitting on powder keg, sources said.    Following the incident on Thursday, Congress MLA from Ludhiana Eastconstituency Sanjay Talwar wrote a letter to deputy commissioner PardeepAgrawal, MC commissioner K P Brar, police commissioner S S Gill and mayorBalkar Sandhu for taking action against such people who are not takingpreventive measures.    He mentioned in the letter that in the past too, several fire incidents hadtaken place due to storage of hosiery waste.    MLA Sanjay Talwar said, “I had raised this issued earlier too, but nobody paidattention towards the same. On Thursday, a similar incident happened whichdamaged three houses.” He said people store hosiery waste at their houses andthere are narrow lanes in these areas. “If fire had spread in adjoining houseson Thursday, the situation might have gone out of control as most of thehouses were full of similar hosiery waste,” he said.    Meanwhile, a resident of area on the condition of anonymity said, “I amdealing in this business since 1992. In 1998, I had constructed this housewhere I store hosiery material on the ground floor. But after this incident, Ihave decided to shift my godown in some other area.”    He said there are many areas like Kripal Nagar, Gopal Nagar, Subhash Nagarwhere a similar practice as prevalent. Inhabited mostly by the migrant people,they deal in this business to run their households.    A random visit to these areas made the picture clear. Without following anybylaws, small houses have come up in narrow lanes with most of the familiesstoring hosiery waste on the ground floor.    Mayor Balkar Sandhu claimed, “I along with MLA Sanjay Talwar visited the areain the evening. People in the area have been instructed not to store hosierywaste in their houses in the absence of safety measures.” He said they wouldtake action against the defaulters.    MC commissioner K P Brar too visited the spot to take stock of the situation.    "
NaN,NaN,Highway,PWD to fix spots prone to accidents on highways,2019-01-16T00:07:00+05:30,"Pimpri Chinchwad: Accident “black spots” on the state highways and majordistricts will soon be identified and rectified.  The state public works department (PWD) approved a resolution in this regardon January 9. Most of these accident spots are in the remote, rural areas ofthe state. Many of them are accident-prone because of development andmaintenance issues.    Accident black spots are 500m stretches of road, where either five seriousaccidents (involving fatalities/grievous injuries) or 10 accident-relatedfatalities have occurred in the past three calendar years.    The resolution said for the improvement of such black spots a systematicapproach is required. The rectification work will be time-bound and there willbe a monitoring mechanism as well.    Temporary and permanent measures will be taken. Temporary measures willinclude the rectification of damages to the road structure that cause unsafetraffic condition; installation of road signs; road markings; speed reductionmeasures like providing strips; and traffic calming measures. The progress ofthe short-term measures would be regularly reported to the road safety cell atthe regional and state levels.    The permanent solutions include formation of road safety committees that wouldinspect the sites and if necessary, recommend the safety audit report from aconsultant. The concerned deputy engineer would prepare a proposal forpermanent measures and submit estimates to the concerned executive engineer.    "
NaN,NaN,Not found,Accident Prone Areas,2018-04-18T10:48:22+05:30,"The Road section of Pashan-NDA road known as Necklace area in Pune is wellknow for it's accidents. There is a specific spot where accidents are likelyto happen, not just due to the shape of the road but also because the streetlights are fitted with low power lights due to which the driver is unable tojudge the road. Today another accident happened at the same spot earlymorning."
