State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,47477,50895,46613,58520,59213,58741,52157,53928,55583,51552,49970,29931,29439,30051
Arunachal Pradesh,374,419,330,361,488,425,530,491,438,399,405,308,359,391
Assam,4361,4313,5540,5435,5697,5081,5522,7579,6505,6709,6609,6499,7068,6127
Bihar,4227,2664,2559,3578,5971,6359,7113,8106,7083,7142,7086,6640,6835,5651
Chhattisgarh,8732,9897,10378,11208,11735,12873,13274,13599,13929,13517,12503,13157,13426,12955
Goa,2626,2730,2714,2931,3128,3167,2954,2709,2318,2086,1928,1879,2055,2026
Gujarat,33680,34436,34901,33984,35768,35722,32944,32449,29744,27650,24836,22493,21448,19949
Haryana,8287,8643,8773,9118,10288,10570,10481,9905,9727,9452,9143,8944,10794,10531
Himachal Pradesh,4358,4975,4507,4879,5332,4714,5579,5325,5462,5248,5081,5576,5108,5764
Jammu & Kashmir,8056,8889,8315,8219,7920,7597,8199,8726,10012,9755,8681,8043,8142,7692
Jharkhand,4106,4293,3520,3707,4369,4373,4406,4872,4811,4974,4356,4356,4038,3793
Karnataka,45781,50395,54061,60940,61438,63314,61697,61774,59591,58659,56781,56831,56971,54556
Kerala,48640,51228,51217,49799,48246,43857,41402,41473,41379,41915,40346,41096,43735,44108
Madhya Pradesh,33375,37250,39719,42639,45225,51054,54611,56897,55545,55994,55731,55335,55815,57873
Maharashtra,46692,47394,40838,51024,47342,52780,47878,46985,45628,43847,41972,40455,39606,35884
Manipur,988,1090,1335,1020,1044,1216,1189,1132,1118,1391,1175,1295,1201,955
Meghalaya,523,362,543,379,357,355,713,461,591,322,412,311,319,354
Mizoram,112,131,127,149,65,185,203,252,215,172,264,234,103,68
Nagaland,123,140,307,275,189,245,151,121,107,49,65,230,74,120
Odisha,8838,9498,10160,9763,11305,10378,11296,11399,11248,10715,11254,11087,11825,11312
Punjab,4077,4218,4131,4307,4430,4196,4486,4071,4081,3997,4383,4127,4414,4351
Rajasthan,29079,31345,29986,29434,31151,30857,32317,31033,28666,28135,27424,27453,26153,24103
Sikkim,279,278,436,391,272,246,434,399,321,336,409,352,337,263
Tamil Nadu,55242,57283,62006,64342,71099,70251,70504,75445,74245,78348,75681,77725,79746,82163
Tripura,927,1160,1067,1368,1329,1494,1342,1269,1030,1237,1232,21636,22948,24217
Uttarakhand,1692,1870,1841,1910,1979,1765,1784,1656,1712,1577,1277,1225,1028,853
Uttar Pradesh,9348,13188,12883,13650,14464,18056,20632,20113,15513,22155,1503,1531,1657,1735
West Bengal,12769,14877,15111,12257,13014,13246,12186,15760,14962,13773,23024,22337,23205,25096
Andaman & Nicobar Islands,252,307,329,222,313,256,342,373,298,288,13182,12018,11794,11859
Chandigarh,437,350,553,525,530,437,321,415,370,347,233,283,331,323
Dadra & Nagar Haveli,65,133,115,114,94,120,71,134,210,122,335,335,331,329
Daman & Diu,74,70,72,53,63,58,69,43,37,39,104,96,97,130
Delhi,7829,8072,8447,8280,7711,7343,6936,7108,7226,6633,75,49,64,102
Lakshadweep,1,3,5,7,2,7,3,5,0,3,7098,8283,8258,7154
Puducherry,1695,1725,1843,1693,1769,1855,1732,1505,1689,1129,2,1,3,0
All India,435122,464521,465282,496481,513340,523193,515458,527512,511394,509667,494893,493474,500279,494624
